# Sensor Kroksbäck, Väster, Sweden (Citizen Science project sensor.community/34134)
# https://aqicn.org/station/@79999/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,2.5,5.43,3.08,2.85,3.64,0.582,34
2019-12-10T00:00:00.000Z,1.5,5.76,2.6,1.98,3.83,1.072,218
2019-12-11T00:00:00.000Z,4.04,11.56,6,5.66,6.45,0.882,251
2019-12-12T00:00:00.000Z,2.13,17.95,12.2,3.68,14.78,5.33,247
2019-12-13T00:00:00.000Z,5.42,37.82,15.25,11.71,25.31,7.976,557
2019-12-14T00:00:00.000Z,1.66,34.88,16.98,8.86,20.7,7.516,377
2019-12-15T00:00:00.000Z,1.81,5.94,4.12,2.96,4.59,1.008,572
2019-12-16T00:00:00.000Z,3.14,7.92,4.95,4.48,5.56,1.016,289
2019-12-17T00:00:00.000Z,3.1,19.55,4.63,4.01,11.09,4.832,288
2019-12-18T00:00:00.000Z,1.38,17.02,3.68,2.42,4.58,2.799,469
2019-12-19T00:00:00.000Z,9.36,42.58,21.96,17.38,30.09,8.245,523
2019-12-20T00:00:00.000Z,24.08,77.36,43.76,39.9,49.48,8.638,467
2019-12-21T00:00:00.000Z,7.7,23.53,13.39,9.77,15.05,3.078,83
2019-12-22T00:00:00.000Z,6.98,28.8,10.45,9.03,12.91,3.069,361
2019-12-23T00:00:00.000Z,3.04,25.46,13.46,4.15,15.98,6.557,582
2019-12-24T00:00:00.000Z,2.46,45.1,7.24,4.28,8.94,3.463,589
2019-12-25T00:00:00.000Z,1.56,24,13.42,5.38,17.12,6.164,438
2019-12-26T00:00:00.000Z,1.27,16.45,2.85,2.49,3.27,1.583,320
2019-12-27T00:00:00.000Z,1.6,4.12,1.98,1.85,2.44,0.496,174
2019-12-28T00:00:00.000Z,2.57,6.88,4.34,3.93,4.72,0.839,195
2019-12-29T00:00:00.000Z,3.45,11.64,9.14,6.76,9.73,2.07,543
2019-12-30T00:00:00.000Z,3.76,21.83,9.02,6.35,11.96,3.303,579
2019-12-31T00:00:00.000Z,2.5,174.1,5.08,3.91,16.63,17.735,528
2020-01-01T00:00:00.000Z,2.29,158.24,5.3,3.24,12.37,24.532,561
2020-01-02T00:00:00.000Z,10.03,42.89,26.72,19.71,32.07,8.113,561
2020-01-03T00:00:00.000Z,3.43,25.35,17.71,7.54,20.52,6.596,360
2020-01-04T00:00:00.000Z,2,3.45,2.95,2.73,3.17,0.354,28
2020-01-05T00:00:00.000Z,3.18,21.32,14.36,3.95,18.5,6.54,160
2020-01-06T00:00:00.000Z,4.55,32.9,14.64,9.6,17.38,6.33,291
2020-01-07T00:00:00.000Z,2.8,44.17,17.67,6.27,21.25,9.968,321
2020-01-08T00:00:00.000Z,6.73,23.42,14.05,8.44,18.42,5.046,495
2020-01-09T00:00:00.000Z,1.52,26.55,7.48,6.85,15.16,7.021,394
2020-01-10T00:00:00.000Z,1.12,28.2,7.22,5.43,17.47,7.468,357
2020-01-11T00:00:00.000Z,0.9,15.05,8.55,2.9,12.28,4.872,255
2020-01-12T00:00:00.000Z,1.2,18.37,3.84,2.29,7,3.669,126
2020-01-13T00:00:00.000Z,3.3,21.7,5.73,4.71,8.36,4.233,200
2020-01-14T00:00:00.000Z,2.33,17.07,11.1,6.52,14.69,4.718,116
2020-01-15T00:00:00.000Z,1.4,4.58,2.8,1.85,3.34,0.867,61
2020-01-16T00:00:00.000Z,1.7,22.16,4.55,3.97,5.93,4.926,301
2020-01-17T00:00:00.000Z,4.37,25.83,19.37,12.5,21.05,5.736,139
2020-01-18T00:00:00.000Z,1.97,125.87,3.84,3.19,4.47,8.026,240
2020-01-19T00:00:00.000Z,3.17,7.94,6.15,4.97,6.67,1.112,326
2020-01-20T00:00:00.000Z,4.33,11.88,6.1,5.74,6.95,2.084,100
2020-01-21T00:00:00.000Z,2.02,5.3,4.38,3.3,4.73,0.913,155
2020-01-22T00:00:00.000Z,2.4,2.46,2.43,2.4,2.46,0.03,2
2020-01-23T00:00:00.000Z,3.23,12.37,6.44,3.47,9.17,3.021,17
2020-01-24T00:00:00.000Z,3.1,15.78,6.57,4.59,7.93,2.426,53
2020-01-25T00:00:00.000Z,1.4,4.83,2.5,2.2,2.9,0.703,54
2020-03-27T00:00:00.000Z,10.36,19.13,13.23,11.59,13.9,1.652,169
2020-03-28T00:00:00.000Z,3.82,41.27,13.63,9.36,25.62,9.694,33
