# Sensor Ridlärargatan, Gothenburg, Sweden (Citizen Science project sensor.community/24625)
# https://aqicn.org/station/@88372/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-26T00:00:00.000Z,0.8,11.82,2.54,1.92,3.3,1.47,230
2019-12-27T00:00:00.000Z,0.52,6.7,2.47,1.67,3.77,1.316,572
2019-12-28T00:00:00.000Z,1.86,7.38,3.2,2.62,4.51,1.29,588
2019-12-29T00:00:00.000Z,2.69,51.35,25.7,14.62,31.69,11.404,594
2019-12-30T00:00:00.000Z,1.13,18.3,8.48,6.28,9.9,2.681,582
2019-12-31T00:00:00.000Z,0.56,53.3,2.25,1.34,6.81,8.737,575
2020-01-01T00:00:00.000Z,0.95,71.81,2.89,2.29,3.97,9.414,514
2020-01-02T00:00:00.000Z,2.04,44.03,8.82,3.61,12.84,6.094,180
2020-01-03T00:00:00.000Z,1.34,22.92,5.8,3.74,10.81,5.786,251
2020-01-04T00:00:00.000Z,0.84,6.05,1.12,1.02,1.59,1.616,13
2020-01-05T00:00:00.000Z,1.2,7.8,3.32,2.42,4.69,1.603,174
2020-01-06T00:00:00.000Z,1.56,14.58,4.09,2.97,6.17,2.712,176
2020-01-07T00:00:00.000Z,1.94,45.21,12.76,5.21,22.69,11.456,226
2020-01-08T00:00:00.000Z,1.64,25.18,6.05,4.5,8.64,4.817,498
2020-01-09T00:00:00.000Z,0.1,8.06,3.84,0.61,5.43,2.329,531
2020-01-10T00:00:00.000Z,0,9.61,1.25,0.5,3.26,2.23,366
2020-01-11T00:00:00.000Z,0.75,12.14,6.37,3.47,8.41,2.748,344
2020-01-12T00:00:00.000Z,1.35,21.6,3.61,2.54,7.18,5.261,363
2020-01-13T00:00:00.000Z,1.05,14.46,3.64,2.52,5.25,2.387,483
2020-01-14T00:00:00.000Z,1.46,16.28,4.8,3.78,6.76,3.145,435
2020-01-15T00:00:00.000Z,0.25,11.9,1.96,0.96,2.96,2.459,454
2020-01-16T00:00:00.000Z,1.73,12.82,4.28,3.43,4.98,1.648,476
2020-01-17T00:00:00.000Z,5.69,38.17,10.45,9,13.35,7.088,468
2020-01-18T00:00:00.000Z,0.56,28.35,3.58,2.54,8.11,7.005,502
2020-01-19T00:00:00.000Z,1.04,12.86,3.08,2.25,6.6,2.716,474
2020-01-20T00:00:00.000Z,1.88,8.69,4.3,3.7,4.98,1.419,361
2020-01-21T00:00:00.000Z,1.94,7.86,4.3,3.59,5.09,1.034,455
2020-01-22T00:00:00.000Z,2.78,4.75,3.63,3.37,4.05,0.518,14
2020-01-23T00:00:00.000Z,2.12,8.16,4.32,3.14,5.6,1.451,87
2020-01-24T00:00:00.000Z,0.64,4.5,2.58,2.02,3.14,0.785,267
2020-01-25T00:00:00.000Z,0.64,10.78,2.62,2.2,3.21,1.801,300
2020-01-26T00:00:00.000Z,0.68,29.38,7.64,5.18,11.12,5.688,307
2020-01-27T00:00:00.000Z,3.78,36.28,20.59,16.89,27.16,7.849,250
2020-01-28T00:00:00.000Z,0.35,29.62,8.08,0.95,22.72,10.09,271
2020-01-29T00:00:00.000Z,0.1,3.24,1,0.75,1.35,0.58,307
2020-01-30T00:00:00.000Z,0.27,3.96,1.27,0.75,1.98,0.796,292
2020-01-31T00:00:00.000Z,0,7.48,2.04,0.18,3.62,1.939,286
2020-02-01T00:00:00.000Z,1.21,9.96,5.12,4.09,6.24,1.686,319
2020-02-02T00:00:00.000Z,0.66,5.39,1.38,1.14,1.71,0.689,338
2020-02-03T00:00:00.000Z,0.38,5.32,1.45,1,2,0.838,311
2020-02-04T00:00:00.000Z,0.2,6.28,0.9,0.62,1.38,1.225,241
2020-02-05T00:00:00.000Z,0.41,5.62,2.54,1.26,3.46,1.296,232
2020-02-06T00:00:00.000Z,1.95,6.44,3.78,3.16,4.55,0.979,231
2020-02-07T00:00:00.000Z,0.62,13.7,3.56,2.88,5.66,2.801,215
2020-02-08T00:00:00.000Z,6.05,38.9,14.84,10.14,19.34,7.195,186
2020-02-09T00:00:00.000Z,2.21,30.02,8.86,6.7,15.86,7.002,360
2020-02-10T00:00:00.000Z,1,7.57,2.99,2.36,4.22,1.345,361
2020-02-11T00:00:00.000Z,0.15,5.55,2.19,1.33,3.12,1.218,360
2020-02-12T00:00:00.000Z,0.61,4.84,2.08,1.67,2.69,0.748,376
